customer_message,support_response,customer_tweet_id,support_tweet_id
Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,850,848
doesn’t work and i even tried deleting the app,Could you send us a DM with your account's email address? We'll take a look backstage /CH,849,851
iphone 7+ and i have the most recent update for spotify,"Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",853,852
i’m pissed my shuffle and repeat button just don’t fucking work and i’m getting frustrated,"Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",855,854
2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲,"Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",858,856
"Yes, multiple times. No changes. I am Premium User an when send us users to Spotify there should be a bugfree running App 🤨",Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: /RS,857,859
Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,862,860
ok thx,"No worries. If you have other questions, just give us a shout 😉 /GS",864,863
is there a way to find non-explicit songs that are explicit,"Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",866,865
"using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!","Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB",1869,1867
"Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊","Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB",1870,1871
1.0.65.320.gac7a8e02,"Thanks! It's not ideal, but a clean reinstall of the app should help out: Let us know how it plays out /KB",1872,1873
Why are my devices not doing the cool thing when I play the #StrangerThings albums on ? 😭,Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB,1875,1874
"why are Nena's releases between 2002 and 2012 all missing, yet everything else from 1982 - 2017 is there? #sadness #emptyplaylist",Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH,1878,1876
"Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks","2: Spotify content here: If you have anything else in mind, we're just a tweet away /RH",1877,1879
"Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks","1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",1877,1880
In other news should probs upgrade from shitty 12GB package,"Hey Katie, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG",2799,2798
"Montreal, where the ad itself says I’m not allowed to get the deal. We had another tweet exchange a few days ago when you emailed me the same offer.",Sorry about that. You shouldn’t have received an email/notification if you’re not eligible. Can you DM us your account's email address or username? /NQ,2802,2801
"So : three days later you’re still advertising a sale to me for which I’m geographically ineligible, this time on Facebook. You know you can choose where you want your ads to display on FB, don’t you?","Hey there! Just to clarify, which part of Canada are currently living in? /MT",2804,2803
- you having a party without me?,"Hey Tom! Not to worry, we're more than happy to bring the party to your place. Would you mind sending this invite out to everyone you know? 🎉 /TB",2807,2805
. any way to block this particular ad? Happy with ads/dont want premium. Just this ad is really hard to watch over and over and over. Please help.,Hey there! Thanks for taking the time to reach out – we'll pass your feedback on to our Ads team /NQ,2809,2808
Im already a premium user can i still avail this promo?,"Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG",2811,2810
