customer_message,support_response,intent,labeling_note
when are you going to be available in Qatar I'm really annoyed,"Hi, help's here! We're launching regularly in countries around the world. Sign up here to be first to hear: If you need anything else, just give us a shout /MY",content_availability,
"hi, yesterday i received an email saying that my spotify family was changed to spotify free bc you couldnt confirm my address. when i tried to confirm it i kept failing with ""3-ups, something wrong try again"". what should i do? my account is __email__ thx",Hey Joe! We've just sent you a bit more info over DM. We'll carry on helping out there. We also suggest that you delete your public tweet as it contains private info /MA,technical_issue,
"Hi! A recent update leaves the top playlist off the ‘Public Playlists’ screen and the last song off the ‘queue’ screen on iOS - please fix, it’s really frustrating 😣😣😣",Hey Johnny! Help's here. Can you let us know the iOS and Spotify versions you're running? We'll see what we can suggest /KM,technical_issue,
"iPhone 7 , iOS 10.3.3 , Spotify 8.4.28",Thanks. Can you try logging out and back in again? Does that help? /GK,technical_issue,
Will do!,Cool! We'll keep an eye out for your update /NS,non_support,
I think it works on faster speeds? Idk the search bar has been kind of wonky lately,"We understand. Can you try using a different internet connection, and see if it makes a difference? /GU",technical_issue,
Why doesn't my application have an EQ? Not on my desktop and also not on android.,"Hi there! The Equalizer is currently available on the mobile app. Don't worry, you can still tweak your audio quality settings on the desktop app. To find out how (plus a guide on enabling Equalizer on mobile), check this out: Hope this helps /MU",general_information,
"hi, having sound issues on Pixel 2. Audio to headphones still very quiet near max volume. Normalize and equalizer off.",Hey there! Can you let us know the Android and app versions you're using? We'll see what we can suggest /PB,technical_issue,
should it be 129 peso load on my mobile to avail this?,Hi there! Can you DM us your username or email address? We'll check this out for you /NH,general_information,
"Work laptop(i7 8gb) Windows 10, chrome",Thanks. Are you getting any specific error messages? A screenshot would come in handy /MV,technical_issue,
"Hi, i want to upgrade to premium. On computer i get the offer ""3. months for 99,00 kr."", but on playstation i dont see the offer. Is it possible to use this offer on playstation?",Hey Morten! We've just sent you a bit more info over DM. We'll carry on helping out there /KB,subscription,
C’mon this for real? Whatever happened to having your entire music collection online? 😕,"Hey Jude! How many tracks would you say you have in Songs (roughly)? e.g. 100, 1000, 5000, or more? /CO",general_information,
"why in the world is the volume low on my Spotify for Android? The loudest is still pretty low in volume! Please fix this! My Google Play Music's volume is fine, and it's on the same phone. This is incredibly annoying",Hi Ammar! Help's here. Can you try logging out &gt; restarting your device &gt; logging back in to see if it makes a difference? Keep us posted /MU,technical_issue,
"feeling depleted after trying to offer you my monthly subscription uptake. Make it easier for the Samsung lovers turned apple user for work purposes. Note: I could be just bad at tech flow but this support donation I have for you, ain’t working at my end!",Hey there! We'd love to help. Can you let us know what's happening exactly? /RC,subscription,
No it doesn't. Have also already performed clean install of spotify.,Thanks for trying that out. Is this also happening on any other devices? Could you check that out for us? /JP,technical_issue,
it's 2017 why do I have a 3333 offline song limit on my spotify? Do you really want to get that 9.99 a month off me? Ps pls emulate their local files synching.,"Hey Ben! Right now, there's a download limit of 3,333 tracks on 3 separate devices. We have more info here: /NS",general_information,
Works. Blame IOS update.,"Glad to hear everything's working okay now. If there's anything else we can help you with, just give us a... 🙂 /CH",general_information,
sent a DM! Was wondering if I could get some help :),"Hi, we've just replied to your DMs. Check your messages 🙂 /SY",general_information,
No updates. I have downloaded it 6 times in a year. A lot of my fellow Mac users have the same issue.,"Got it. Can you let us know your MacBook's OS version? Also, do you recall anything you've changed before it usually happens? /QI",technical_issue,
put this on spotify please,"Hey! We’d love to have all of his stuff available, but we have some info about content here: /NQ",feature_request,
why is reputation still not on spotify it's been two weeks,"Hey there! We’ll have it available to you as soon as it’s available to us. For now, check out the singles: /LP",content_availability,
Help on my spotify card please,Hey Eva! We've just sent you a DM. Let's continue chatting there /NS,general_information,
"No, wait. Send a tweet and music has gone.",Hey Adam! Can you let us know exactly what's happening? We'll see what we can suggest /QI,content_availability,
So I cannot listen to #Spotify unless I install the app on my computer .. or what?,"Hey Deborah, head to using Google Chrome. You should be able to listen to your tunes that way! Let us know if you need help 🙂 /J",technical_issue,
how long would it take for a pending charge to be cleared? Made a mistake on a subscription and my card was charged.,"Hey Joelle! Depending on your bank, it can take 3-5 business days for the pending charges to be returned to your account. Hope this helps /JX",billing_payment,
"For me, as soon as I logged in it would log me out (in Chrome). I switched to Firefox and was able to log in. Makes me think something is cached weird.",Hi Will! Can you trying clearing your Chrome browser's cache/cookies? Let us know if that makes a difference /RH,account_access,
"I'm trying to verify that I'm a student again but the pop up doesn't do anything, please help!!","Hi Kitty, help's here! Can you try using an incognito window or a different browser? Let us know how it goes /PL",technical_issue,
when will you guys bring back the unlink tracks option,"Hey! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ",feature_request,
Howwwwwwww?????,"Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? /DR",non_support,
I used to use that feature as an example of great UX. 😂🙈🙉🙊,"We understand. Don't worry, we'll let the right team know it's something you'd like to see again /NS",feature_request,
Wtf kind of error message is this calm down.,Hey Shane! That's not cool. Can you tell us what actions caused the error? Could you also try a clean reinstall to see if it makes a difference? Just follow the steps at Keep us posted /NH,technical_issue,
WHY ISN'T SPOTIFY AVAILABLE IN VIETNAM????? PLEASE WE NEED IT 😠😠,Hey there! We're launching in new countries as often as possible. Sign up here to be first to hear: /AC,content_availability,
I don't go on youtube very often and I'd love if you could add ' cover of the chain by Fleetwood Mac ( live lounge) please?,"Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: 🙂 /JI",content_availability,
Dear please make it so we can upvote and downvote our Discover Weekly playlists. Half of mine consists of K-pop which I have never nor will I ever be interested in listening to plz and thank u,Hey Kira! You can show your support for the same idea in our Community: /JP,feature_request,
hi! it’s set to the UK :),"Thanks. Fingers crossed we'll be able to have it available to you soon, but there's info about Spotify content here: . Hope this helps /LP",content_availability,
Is offline for anyone else?,"Hey there! Just to check, is your app showing as offline, or are you having trouble accessing our website? We'll see what we can suggest /LM",technical_issue,
Yes! It is a constant problem on the iOS 11 update. Like I said I’m not the only 1 encountering the problem.,Thanks. Can you try reinstalling the app? You can find the steps for your device at Keep us posted /SJ,technical_issue,
This is ridiculous for existing subscribers,"Hey Harold! Right now, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂 /MU",general_information,
"So, I started the 3 months premium. When do I have I cancel if I want to? I mean, is it okay to cancel 2 days before the 3 months runs out? Or do I have to give you a month's notice, meaning 1 month before the 3 months runs out?","Hey, help's arrived! You can cancel your subscription anytime by heading to Or, you can reach out to us again and we can revert your subscription to Free. Let us know if you need anything 🙂 /JQ",billing_payment,
I can’t right click the track if the track is no longer viewable and/or no longer shows up when searched for. My account is U.S.,1: We understand. We've checked the song and found that it's not available in your country. Fingers crossed we'll be able to have...,technical_issue,
", This is clearly not an account issue. It's a design issue. This is a bug that needs needs to be address so the app will be accessible to users who need larger type.","Hey Lauren, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /KC",technical_issue,
Thank youuuu,Anytime! 🙂 /RH,non_support,
"can you stop spamming me with ""would you like to open Waze?"" Fuck.",Hey there! Can you let us know which device and operating system you're using? We'll see what we can suggest /NQ,general_information,
"So I cancelled my subscription today, this is what they sent me #truelove","We're glad to hear you got our message! We're sad to see you go, but always remember... 💚 /TB",general_information,
