customer_message,support_response,customer_tweet_id,support_tweet_id
amazonのfireTVstickが見れない😢,こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。 ET,272,269
電話で対応してもらいましたが改良されませんでした。 保証期間も過ぎてるので買い直しになるんでしょうね。,カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,271,273
こちらこそありがとうございました。,恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET,274,275
amazonプライムビデオ、再生エラーが多いです,ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。 ET,325,324
Way to drop the ball on customer service so pissed right now!,"I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",617,615
"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",We'd like to take a further look into this with you! Please reach us by phone or chat here: ^AG,616,618
I want my amazon payments account CLOSED. dm me please.,"I am unable to affect your account via Twitter. For real time support, phone or chat use this link: ^CH",621,620
"also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",624,622
"Okay, danke für die Info",Wir haben zu danken. Schönen Abend noch. ^JS,623,625
How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,628,626
Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Thanks for your patience. ^KM,627,629
my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!!,I'm sorry your order arrived in this condition! Please reach out to us for available options: ^DG,632,631
why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: ^SH,634,633
"Thanks for the style advice, look ...I think? #Halloween2017 #flamingo",Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,636,635
Hi ready for some help,Were you able to reach us at the link DW provided? ^TR,638,637
Is the Echo Show no longer supported?,"The Echo Show is supported, please reach us for some live troubleshooting at your convenience: ^DW",640,639
"Bought an Echo Show and it won’t recognize a single account in our household. WTF, guys?","Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: ^SG",643,642
. Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out,I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: ^SY,646,644
That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,You can also request a call back here Martin ^KM,645,647
"In response to your packing video, this packaging was for a 2ft washing line pole",Thanks for bringing this to our attention! Please also leave packing feedback here: so we may improve.^KL,649,648
Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: ^SH,652,650
"I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL",651,653
Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,Provide your details here: and my team will escalate the order to Amazon Logistics for feedback. ^EZ,654,655
