customer_message,top1_customer,top1_response,top1_similarity,top2_customer,top2_response,top2_similarity,top3_customer,top3_response,top3_similarity,top4_customer,top4_response,top4_similarity,top5_customer,top5_response,top5_similarity
if i have to put all of these artists in one more time i may freak... get yr sh't together,hey guys. Tips on merging artists and fan accounts? Thx!,"Hey there! We're afraid this isn't possible right now. Don't worry, we'll pass this on to the right team. Let us know if you have other questions /GK",0.5493062734603882,stop putting random bands i’ve never heard of in my “recently listened to artists”,Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF,0.52018141746521,Look I love you &amp; all but also get your shit together and stop undownloading all my songs this $10 ain’t a joke,2: They should help with this. Let us know how everything goes /JE,0.4871559739112854,"Would be very cool if under ""New Releases"" things were separated by Album vs. Single &lt;3",This sounds like a great idea! Suggest it in our Community at so it can get support from other users 💚 /RR,0.47925373911857605,"Hey y'all, quick question is there a mechanism to change or influence your ""Related Artists""?",Hey! We have some info on this here: check it out 🙂 /L,0.4620268642902374
Hi. I can't log on to my premium account. Are there any problems at your end?,"Hello, I've tried to tell my problem from the website but until now I can't get my premium account back, I still can't logged in to my account :(",Thanks for the info. Can you DM us your account's email address? We'll take a look backstage and see what we can suggest /NY,0.8179551959037781,I’m unable to access my premium account please help,Hey Rodro! Can you DM us your account's username or email address? We'll take a look backstage /MS,0.7823327779769897,can you help? My premium account does not work even if it is regularly payed.,Hey! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest /MX,0.7522789835929871,"hey there, been having issues with my premium account the past couple days. Seems like it is due to my payment not going through,but I'm sure my card info is valid. Any solutions to follow here? Thanks in advance for the help!",Hey there! Can you DM us your account's email address and a screenshot of any error messages you're seeing? We'll take a look /RB,0.7294706106185913,Where is my Premium account? I can't cancel account if you are charging me for something I can't log into! FIX IT!,Hey Gregor! Can you DM us your account's email address and username? We'll take a look backstage /KL,0.719691276550293
After the update.,The past 2 days. Laptop. Spotify Premium. Newest desktop update.,2: You can find this info by going into Help &gt; About Spotify. We hope that hear from you soon with this info! /CB,0.48418334126472473,Can you specify when you will update us ? was last updated 1 year ago by Spotify?,"We don't have any specific info to share about this, but make sure to keep an eye out on the idea in the community /PL",0.48072904348373413,can we have an update please,"Hey Maddie, help's here! What’s happening exactly? Can you let us know the device/OS you’re using? Keep us posted /JK",0.4751623272895813,Unfortunately that didn’t fix the issue,Can you try the steps here for us: Keep us posted /MG,0.47379791736602783,iphone 6s and i’m not sure but i’d assume the lastest update?,Can you also check the exact Spotify version you're using? Just go to Your Library &gt; Settings &gt; About &gt; Version 🙂 /RR,0.4700286388397217
Spotify has an obnoxious habit of streaming video loops (ads or otherwise) to my Apple TV via AirPlay. Any way to stop? This song plays weird Björk loops that I can’t stop,"I could be listening to music on Spotify and then it just out of the blue stops, can you please try and fix this problem? It happens when I go into something other than Spotify",Hey there! Could you let us know what device/OS you're using? We'll see what we can suggest /DF,0.5912717580795288,why did I randomly start getting this?I’ve been using Spotify for over a year and then outta nowhere this happens,"Hey there, help's arrived! Can you DM us your account's email address? We'll take a look under the hood /AG",0.5813984870910645,the supscription via the internet and vodaphone said it’s something i have to solve with spotify as they can’t help me,Copy that. Could you DM us your account's email address or username? We'll take a look under the hood /WP,0.5682503581047058,"No. Completely new android device and also had the same behaviour on my previous one. If I listen to di.fm on my phone in one room and use Google Home (or another android device) to start a song, Spotify pops up on the first device and pauses whatever other audio is playing.","Got it! Just to clarify, are you logged into Spotify on both of these devices? If so, we recommend logging out of one of these, before trying again. Keep us posted /JJ",0.559622049331665,"is there really no workaround for this? I wouldn't mind putting some time into making this work, but Spotify just has so little use for me if this can't be done...","We're afraid this isn't possible, but we can see how that'd be handy. Your feedback has been noted. Don't worry, once you've imported your iTunes tracks, you can easily move them to playlists by following the steps at /WP",0.5562326908111572
I think it works on faster speeds? Idk the search bar has been kind of wonky lately,Well technically it works. It only errors when you hit the search button,"Hmm. Just to check, are you on a shared WiFi network? If not, restarting your router is worth a try. Keep us in the loop /GU",0.5869495272636414,"No, it doesn't. I've tried multiple browsers too.",Got it. Can you fire over the link of the Community page you're having issues with? We'll see how it loads on our end /MT,0.4642617106437683,I've tried using 2 and for both cases search is kind of on-and-off. Usually off when I sleep my computer and go back to spotify,That's odd. Could you DM us your account's username or email address? We'll take a look backstage /GU,0.44713449478149414,"It doesn't appear to make a difference on wi-fi or data. I don't use it on another device so no idea, sorry",It's alright. Could you DM us your account's email address or username? We'll take a look backstage /KM,0.4033423662185669,there's something wrong with the search :(,Hey Dana! Does logging out and logging back in help? Restarting your device is also worth a try. Let us know how it plays out /GU,0.3909294903278351
why is there a limit to how many songs you can put in your library? I don't understand.,Why's there a 10K limit on songs in My Library? Why not unlimited? I just switched to Spotify from another and feel duped.,"Hey Matt, sorry to hear you feel that way. We have more info about this here: /JP",0.8192470073699951,That makes ZERO sense. What does me having more songs in my library have to do with other people having less songs? Still no answer to why?,"For more details about this, you can read the official response to the idea in our community: /JP",0.8119204044342041,"You *REALLY* need to finally, actually, DO something about the 10,000 song limit in users' libraries. Especially for a service that prides itself on helping discovery of new tracks.","Hey there, we hear you! We’d love to see your vote, and hear your feedback on this idea: /TB",0.7268462181091309,Is there a limit on the number of playlists I can have?,"We feel you. Your feedback has been noted and passed onto the team. By the way, there's no limit on how many playlists you can have /NS",0.7227680683135986,library limit (10k songs) is a pretty big failure of premium streaming services. Shows the limits of subscription vs buying. 😕,Hi Ryan! Thanks for the feedback. We'll be sure to pass it onto the right team. Let us know if there's anything else we can do to help /DV,0.7030026316642761
when I watch an ad video and you say 30 mins ad free. I expect 30 mins ad free. Not 10 mins.,: 30 min of ad free music after this ad *plays ad* *plays one song* *plays 10 minutes of ads* Do you mean 30 minutes of music free ads???,"Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RB",0.7743798494338989,5 min of ads??? More like 5 min of torture!,"Hey, sorry about that. Can you tell us what's happening exactly? /RH",0.6802985668182373,"""Next 30min are ad free thanks to the following sponsor"" then the ad finished, I heard one song and I got 3 ads in a row. Tf?","Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /JX",0.6579825282096863,Yes I did. The dude even said thanks for watching now enjoy your 30 mins of ad free music.,"Hmm, that's odd. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /RA",0.5363017916679382,"Hi! It's not that having the ads themselves is unbearable, it is the ads themselves that will drive up ur premium sales #amazingwork","We're sorry you feel that way. We appreciate your feedback on this, and we'll be sure to pass it on to the right folks. Let us know if we can help with anything else. We're just a tweet away /LM",0.5136785507202148
I can’t right click the track if the track is no longer viewable and/or no longer shows up when searched for. My account is U.S.,when will you guys bring back the unlink tracks option,"Hey! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ",0.5556811690330505,"All tracks. Windows 7, Chrome web player","Thanks! Just to check, have you tried using a different network? Sending us the versions of the Google Chrome and Spotify app you're rocking would be helpful /FJ",0.5244768857955933,"I am also experiencing this. No matter what track I click, nothing loads or plays. Already tried un- then re-installing. So not just you Jouni.","Hey there! If you'd like us to have a look, just let us know what device, operating system, and Spotify version you're using /RB",0.5229321122169495,Thanks for your help. Had to entirely reset my phone (it died when I logged out of Spotify) That fixed the problem though. Cheers!,We're glad it's working now. You know where to find us if you need us again /KM,0.5194270610809326,my search option for new music is gone?!?,"Hey there! Can you give us more info? What device, operating system, and app version are you using? /PB",0.5180132389068604
what is this 😂 #StrangerThings,found this in settings... what's #StrangerThings mode??,Hey Leah! The Stranger Things Mode is in partnership with Netflix to promote the latest season of Stranger Things. It's a cool feature available for users who stream from the official playlists of the series. You can try it out to see for yourself 🙂 /JE,0.7058573365211487,the dreaded #Spotiamb strikes again !! What is this bloody thing,Hey Grant! Head here: for what to do next /DF,0.45815083384513855,Why are my devices not doing the cool thing when I play the #StrangerThings albums on ? 😭,Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB,0.34887808561325073,Here is this pop up that keeps coming up,"Thanks, but we'd suggest deleting your tweet as it contains some sensitive info. Can you send it via DM? Let's continue chatting there /CH",0.3396350145339966,It’s the latest version of each 👍,"Thanks. Can you try logging out, restarting your device, then logging back in? Let us know if that helps /QI",0.33027172088623047
Hey why did music get taken off Spotify? I like the music and I was curious why it would be taken off,The link you sent talks about songs being removed. Im talking about the entire Spotify application going. See the picture. Always happening.,We're sorry for the confusion. Did you update anything on your desktop (your OS) before this happened? Does reinstalling the app help? /QI,0.7061426639556885,WHY IS BTOB's COMPLETE AND I MEAN ALBUMS REMOVED ON SPOTIFY????,Hi there! Sometimes content is removed due to licensing. You can find more info at /RP,0.6660836338996887,why has ‘Teenagers’ come off of Spotify??,"Hey Megan, sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /BX",0.651394248008728,"It took me four seconds to deactivate it yes, but why is that an automatic trigger ... literally logging in to my Spotify?",Hey there. Can you send us a DM with your account's email address? We'll take a look at what happened /LS,0.6458122134208679,I'M GOING TO FUCKING KILL MYSELF CAN SPOTIFY STOP REMOVING MY DOWNLOADED MUSIC YOU FUCKING BITCHES,Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF,0.6409941911697388
